year.x,quar.x,dpue,n,prog,group
2010,1,0.006215277538292089,2,self,1_self
2010,2,0.02622731357387299,2,self,2_self
2010,3,0.01881574956148019,2,self,3_self
2010,4,0.034581853503685894,4,self,4_self
2011,1,0.08431785848739497,1,self,1_self
2011,2,0.3517752725899583,4,self,2_self
2011,3,0.030232426316945765,4,self,3_self
2011,4,0.012385438039248594,4,self,4_self
2012,1,0.009432511915948485,4,self,1_self
2012,2,0.18072226281176568,6,self,2_self
2012,3,0.18710461530368333,8,self,3_self
2012,4,0.32343977474509805,1,self,4_self
2013,1,0.018054513222875532,2,self,1_self
2013,2,0.005026064037900937,3,self,2_self
2013,3,0.04138939697662641,6,self,3_self
2013,4,0.061187565067172274,4,self,4_self
2014,1,0.021664903971566896,4,self,1_self
2014,2,0.2908655260953537,4,self,2_self
2014,3,0.0353096138019059,3,self,3_self
2014,4,0.04941343429874971,7,self,4_self
2015,1,0.01114496452869058,9,self,1_self
2015,2,0.04031762246005782,7,self,2_self
2015,3,0.046125547683057905,4,self,3_self
2015,4,0.10397379109501044,8,self,4_self
2016,1,0.02729091574629832,13,self,1_self
2016,2,0.1392175042142654,14,self,2_self
2016,3,0.023181972660300258,12,self,3_self
2016,4,0.04430774470956924,20,self,4_self
1999,3,0.004714827242855981,1,observer,3_observer
1999,4,0.0014480356673831542,1,observer,4_observer
2000,1,0.0011684373952768389,2,observer,1_observer
2000,2,0.008719500424277962,4,observer,2_observer
2000,3,0.0011221555942108738,1,observer,3_observer
2001,1,0.004273438049799794,1,observer,1_observer
2001,2,0.15465754726640563,1,observer,2_observer
2003,1,0.001057861528660641,1,observer,1_observer
2003,2,2.5504201975762027e-4,1,observer,2_observer
2003,3,3.691001297341802e-5,1,observer,3_observer
2004,3,0.011839708335905395,2,observer,3_observer
2004,4,0.0044466139074641154,1,observer,4_observer
2005,4,8.983264750620612e-4,1,observer,4_observer
2006,1,0.0010322417234355267,3,observer,1_observer
2006,3,0.05923543664175824,1,observer,3_observer
2007,2,3.0373702400847357e-5,1,observer,2_observer
2008,2,9.149674771050567e-4,1,observer,2_observer
2008,4,0.006619984803930488,1,observer,4_observer
2009,2,0.0013695360907869697,1,observer,2_observer
2012,1,0.002970446229275875,2,observer,1_observer
2012,3,0.13587130430422537,1,observer,3_observer
2012,4,0.023192048861031277,1,observer,4_observer
2013,1,0.008963704624645892,1,observer,1_observer
2013,2,0.01805910906725146,1,observer,2_observer
2014,1,0.008137480457335582,1,observer,1_observer
2014,2,0.028029282866419297,1,observer,2_observer
2014,4,0.019360141730630134,2,observer,4_observer
2015,1,0.0027106687161011036,2,observer,1_observer
2015,2,0.004458768613484399,3,observer,2_observer
2015,4,0.04056647566660409,2,observer,4_observer
2016,1,0.05693381778203064,3,observer,1_observer
2016,2,0.02761006335520471,2,observer,2_observer
2016,4,0.042983981362276866,3,observer,4_observer
