year,PGM_CODE,prog,ship,POWER,metier,week,quar,TRIPNR,duration_meas,duration_tot,SCIENTIFIC_NAME,ENGLISH_NAME,DUTCH_NAME,ICES_CODE,nodc,class_length,SSE_CATEGORY,GEAR_SUBTYPE,GEAR_COUNT,w_soort_meashauls,n_per_hour,n_total_trip,w_per_hour,w_total_trip
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Aequipecten opercularis,Queen scallop,Wijde mantel,QSC,5.51E+11,0,d,DEL,1,,76.16766467,5845.868264,,
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83E+11,9,d,DEL,1,0.545514534,1.562874252,119.9505988,0.009799662,0.752124081
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83E+11,10,d,DEL,1,1.786218229,3.826347305,293.6721557,0.032087753,2.462735014
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83E+11,11,d,DEL,1,4.565659381,7.508982036,576.3143713,0.082017833,6.294868697
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83E+11,12,d,DEL,1,4.258385891,5.497005988,421.8952096,0.07649795,5.871217673
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83E+11,13,d,DEL,1,0.98325926,1.01497006,77.8989521,0.01766334,1.355661346
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Alcyonium digitatum,,Dodemansduim,,3.75E+11,0,d,DEL,1,,6.035928144,463.257485,,
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Ammodytes sp.,,Zandspieringen indet.,SAN,8.85E+11,9,d,DEL,1,0.027912424,0.215568862,16.54491018,0.000501421,0.038484045
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Ammodytes sp.,,Zandspieringen indet.,SAN,8.85E+11,13,d,DEL,1,0.11577472,0.278443114,21.37050898,0.002079785,0.159623529
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Ammodytes sp.,,Zandspieringen indet.,SAN,8.85E+11,14,d,DEL,1,0.421381738,0.799401198,61.35404192,0.007569732,0.580976917
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Ammodytes sp.,,Zandspieringen indet.,SAN,8.85E+11,15,d,DEL,1,0.425380591,0.646706587,49.63473054,0.007641568,0.586490305
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Ammodytes sp.,,Zandspieringen indet.,SAN,8.85E+11,16,d,DEL,1,0.610759058,0.754491018,57.90718563,0.01097172,0.842079479
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Ammodytes sp.,,Zandspieringen indet.,SAN,8.85E+11,17,d,DEL,1,0.521533571,0.52994012,40.67290419,0.009368867,0.719060507
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Ammodytes sp.,,Zandspieringen indet.,SAN,8.85E+11,18,d,DEL,1,0.255132224,0.215568862,16.54491018,0.004583214,0.351761645
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Aphrodita aculeata,,Fluwelen zeemuis,,5.00E+11,0,d,DEL,1,,1.077844311,82.7245509,,
2013,DISBT,observer,GO48,1467,TBB_DEF_70-99_0_0_G300hp,45,4,867.1,3340,4605,Arnoglossus laterna,Scaldfish,Schurftvis,,8.86E+11,8,d,DEL,1,0.093161097,0.341317365,26.19610778,0.001673553,0.128445166
