"Year","NS-IBTSQ1","NS-IBTSQ3","BTSENGQ3","BTSNEDISIQ3","BTSNEDTRI2Q3","BTSGFRQ3"
1977,0.044,NA,NA,NA,NA,NA
1978,0.037,NA,NA,NA,NA,NA
1979,0.095,NA,NA,NA,NA,NA
1980,0.115,NA,NA,NA,NA,NA
1981,0.07,NA,NA,NA,NA,NA
1982,0.118,NA,NA,NA,NA,NA
1983,0.119,NA,NA,NA,NA,NA
1984,0.056,NA,NA,NA,NA,NA
1985,0.094,NA,NA,NA,NA,NA
1986,0.148,NA,NA,NA,NA,NA
1987,0.122,NA,NA,NA,NA,NA
1988,0.322,NA,NA,NA,NA,NA
1989,0.092,NA,NA,NA,NA,NA
1990,0.037,NA,NA,NA,NA,NA
1991,0.332,0.143,NA,NA,NA,NA
1992,0.207,0.279,NA,NA,NA,NA
1993,0.173,0.272,NA,NA,NA,NA
1994,0.38,0.13,NA,NA,NA,NA
1995,0.079,0.014,NA,NA,NA,NA
1996,0.044,0.044,NA,NA,NA,NA
1997,0.039,0.066,NA,NA,NA,NA
1998,0.053,0.089,NA,NA,NA,NA
1999,0.06,0.187,0.258,0.595,0.064,NA
2000,0.061,0.721,0.349,1.121,0.141,NA
2001,0.193,0.102,0.049,0.918,0.13,NA
2002,0.125,0.153,0.084,0.391,0.099,0.149
2003,0.354,0.178,0.2,0.59,0.133,0.376
2004,0.125,0.129,0.133,0.671,0.28,0.233
2005,0.223,0.062,0.216,0.799,0.281,0.299
2006,0.14,0.231,0.059,0.563,0.216,NA
2007,0.189,0.51,0.272,1.282,0.333,0.143
2008,0.4,0.312,0.095,0.772,0.379,0.099
2009,0.169,0.365,0.071,1.131,0.393,0.38
2010,0.173,0.361,0.544,0.649,0.274,0.065
2011,0.232,0.32,0.344,0.585,0.542,0.275
2012,0.371,0.327,0.345,1.228,0.945,0.398
2013,0.14,0.427,0.084,0.755,0.323,0.22
2014,0.254,1.499,0.179,0.86,0.239,0.254
2015,0.293,0.241,0.367,0.54,0.313,0.128
2016,0.166,0.25,NA,1.028,0.512,0.418
2017,0.276,NA,NA,NA,NA,NA
