"Year","NS-IBTSQ1","NS-IBTSQ3","BTSENGQ3","BTSNEDISIQ3","BTSNEDTRI2Q3","BTSGFRQ3"
1977,0.046,NA,NA,NA,NA,NA
1978,0.042,NA,NA,NA,NA,NA
1979,0.096,NA,NA,NA,NA,NA
1980,0.116,NA,NA,NA,NA,NA
1981,0.071,NA,NA,NA,NA,NA
1982,0.118,NA,NA,NA,NA,NA
1983,0.122,NA,NA,NA,NA,NA
1984,0.056,NA,NA,NA,NA,NA
1985,0.096,NA,NA,NA,NA,NA
1986,0.148,NA,NA,NA,NA,NA
1987,0.122,NA,NA,NA,NA,NA
1988,0.324,NA,NA,NA,NA,NA
1989,0.098,NA,NA,NA,NA,NA
1990,0.044,NA,NA,NA,NA,NA
1991,0.339,0.15,NA,NA,NA,NA
1992,0.21,0.288,NA,NA,NA,NA
1993,0.178,0.276,NA,NA,NA,NA
1994,0.384,0.135,NA,NA,NA,NA
1995,0.085,0.018,NA,NA,NA,NA
1996,0.047,0.052,NA,NA,NA,NA
1997,0.046,0.07,NA,NA,NA,NA
1998,0.054,0.098,NA,NA,NA,NA
1999,0.063,0.198,0.286,0.959,0.064,NA
2000,0.062,0.727,0.35,1.706,0.141,NA
2001,0.205,0.112,0.058,1.281,0.147,NA
2002,0.129,0.154,0.089,0.68,0.111,0.149
2003,0.359,0.202,0.22,0.973,0.133,0.422
2004,0.13,0.135,0.14,1.087,0.28,0.245
2005,0.231,0.085,0.227,1.211,0.292,0.321
2006,0.147,0.232,0.079,1.005,0.234,NA
2007,0.196,0.52,0.284,1.743,0.367,0.218
2008,0.411,0.352,0.106,1.345,0.423,0.121
2009,0.183,0.367,0.084,1.422,0.431,0.44
2010,0.181,0.371,0.573,0.85,0.398,0.083
2011,0.238,0.368,0.431,0.957,0.55,0.349
2012,0.377,0.36,0.375,1.551,1.086,0.525
2013,0.158,0.45,0.156,1.031,0.37,0.248
2014,0.257,1.504,0.285,1.185,0.255,0.349
2015,0.301,0.282,0.45,1.095,0.406,0.193
2016,0.201,0.282,NA,1.514,0.586,0.44
2017,0.284,NA,NA,NA,NA,NA
