"Year","NS-IBTSQ1","NS-IBTSQ3","BTSENGQ3","BTSNEDISIQ3","BTSNEDTRI2Q3","BTSGFRQ3"
1977,0.038,NA,NA,NA,NA,NA
1978,0.045,NA,NA,NA,NA,NA
1979,0.065,NA,NA,NA,NA,NA
1980,0.069,NA,NA,NA,NA,NA
1981,0.042,NA,NA,NA,NA,NA
1982,0.062,NA,NA,NA,NA,NA
1983,0.062,NA,NA,NA,NA,NA
1984,0.038,NA,NA,NA,NA,NA
1985,0.079,NA,NA,NA,NA,NA
1986,0.078,NA,NA,NA,NA,NA
1987,0.059,NA,NA,NA,NA,NA
1988,0.096,NA,NA,NA,NA,NA
1989,0.065,NA,NA,NA,NA,NA
1990,0.07,NA,NA,NA,NA,NA
1991,0.208,0.125,NA,NA,NA,NA
1992,0.196,0.236,NA,NA,NA,NA
1993,0.128,0.121,NA,NA,NA,NA
1994,0.165,0.133,NA,NA,NA,NA
1995,0.09,0.025,NA,NA,NA,NA
1996,0.053,0.071,NA,NA,NA,NA
1997,0.063,0.072,NA,NA,NA,NA
1998,0.057,0.09,NA,NA,NA,NA
1999,0.054,0.168,0.307,2.776,0.032,NA
2000,0.071,0.18,0.269,5.345,0.169,NA
2001,0.107,0.112,0.12,2.938,0.184,NA
2002,0.108,0.113,0.12,3.112,0.139,0.139
2003,0.157,0.189,0.343,2.567,0.15,0.383
2004,0.11,0.119,0.181,3.328,0.226,0.214
2005,0.182,0.129,0.365,3.045,0.258,0.324
2006,0.129,0.149,0.245,2.895,0.261,NA
2007,0.151,0.245,0.312,3.236,0.418,0.45
2008,0.307,0.375,0.188,3.431,0.333,0.167
2009,0.196,0.256,0.207,2.278,0.488,0.544
2010,0.156,0.204,0.519,2.343,0.712,0.134
2011,0.189,0.332,1.032,2.853,0.393,0.467
2012,0.251,0.369,0.408,2.647,1.393,0.834
2013,0.147,0.275,0.425,1.916,0.377,0.367
2014,0.188,0.494,0.623,3.346,0.287,0.538
2015,0.133,0.3,0.658,5.587,0.756,0.45
2016,0.301,0.312,NA,3.12,0.778,0.481
2017,0.22,NA,NA,NA,NA,NA
