year,PGM_CODE,prog,ship,POWER,metier,week,quar,TRIPNR,duration_meas,duration_tot,SCIENTIFIC_NAME,ENGLISH_NAME,DUTCH_NAME,ICES_CODE,nodc,class_length,SSE_CATEGORY,GEAR_SUBTYPE,GEAR_COUNT,w_soort_meashauls,n_per_hour,n_total_trip,w_per_hour,w_total_trip
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Aequipecten opercularis,Queen scallop,Wijde mantel,QSC,5.51E+11,,d,sum,2,,16.85276673,1013.974798,,
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83E+11,10,d,sum,2,0.136454821,4.437747,267.0044445,0.037214951,2.239099559
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83E+11,11,d,sum,2,0.28422583,7.096837909,426.9930809,0.077516135,4.663887477
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83E+11,13,d,sum,2,0.169677483,2.659090909,159.9886364,0.046275677,2.784253244
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Alcyonium digitatum,,Dodemansduim,,3.75E+11,,d,sum,2,,2.659090909,159.9886364,,
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Anthozoa,,Zeeanemonen,,3.74E+11,,d,sum,2,,5.318181818,319.9772727,,
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Arnoglossus laterna,Scaldfish,Schurftvis,,8.86E+11,9,d,sum,2,0.067458534,2.659090909,159.9886364,0.018397782,1.106933214
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Arnoglossus laterna,Scaldfish,Schurftvis,,8.86E+11,10,d,sum,2,0.183923271,5.318181818,319.9772727,0.050160892,3.018013669
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Arnoglossus laterna,Scaldfish,Schurftvis,,8.86E+11,12,d,sum,2,0.368845083,6.216403091,374.0202526,0.100594114,6.0524125
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Arnoglossus laterna,Scaldfish,Schurftvis,,8.86E+11,13,d,sum,2,0.400449687,5.318181818,319.9772727,0.109213551,6.57101532
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Arnoglossus laterna,Scaldfish,Schurftvis,,8.86E+11,14,d,sum,2,0.666701837,7.096837909,426.9930809,0.181827774,10.93997105
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Asterias rubens,Starfish,Zeester,STH,8.12E+11,,d,sum,2,,486.8181753,29290.22688,,
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Buccinum undatum,Whelk,Wulk,WHE,5.11E+11,,d,sum,2,,39.939723,2403.040001,,
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,13,d,sum,2,0.340817237,5.318181818,319.9772727,0.092950156,5.592501031
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,14,d,sum,2,0.140503634,1.778656091,107.0158081,0.038319173,2.305536903
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,15,d,sum,2,0.255332147,2.659090909,159.9886364,0.06963604,4.189768404
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,16,d,sum,2,1.329991623,11.53458491,693.9975254,0.362724988,21.82395345
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,17,d,sum,2,1.70299339,12.43280618,748.0405053,0.464452743,27.94457336
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,18,d,sum,2,2.432354745,15.09189709,908.0291416,0.663369476,39.91273014
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,19,d,sum,2,2.003187256,10.65415009,641.0246971,0.546323797,32.87048179
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,20,d,sum,2,5.799342824,26.64426846,1603.096819,1.581638952,95.16194361
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,21,d,sum,2,5.106972113,20.41007891,1228.006414,1.392810576,83.80076968
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,22,d,sum,2,9.644261551,33.74110636,2030.0899,2.63025315,158.2535645
2016,DISBT,self sampling,GO31,1471,TBB_DEF_70-99_0_0_G300hp,6,1,1240,220,3610,Callionymus lyra,Dragonet,Pitvis,LYY,8.85E+11,23,d,sum,2,1.732209045,5.335968273,321.0474244,0.472420649,28.42397569
