year,PGM_CODE,prog,ship,POWER,metier,week,quar,TRIPNR,duration_meas,duration_tot,SCIENTIFIC_NAME,ENGLISH_NAME,DUTCH_NAME,ICES_CODE,nodc,class_length,SSE_CATEGORY,GEAR_SUBTYPE,GEAR_COUNT,w_soort_meashauls,n_per_hour,n_total_trip,w_per_hour,w_total_trip
2016,DISBT,observer,GO31,1471,TBB_DEF_70-99_0_0_G300hp,11,1,1267.1,3190,4520,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83108E+11,7,d,sum,2,0.272941188,1.626959248,122.5642633,0.00513369,0.386737984
2016,DISBT,observer,GO31,1471,TBB_DEF_70-99_0_0_G300hp,11,1,1267.1,3190,4520,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83108E+11,8,d,sum,2,1.697593022,7.034482759,529.9310345,0.031929649,2.405366915
2016,DISBT,observer,GO31,1471,TBB_DEF_70-99_0_0_G300hp,11,1,1267.1,3190,4520,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83108E+11,9,d,sum,2,1.360651194,4.081504702,307.4733542,0.025592186,1.927944639
2016,DISBT,observer,GO31,1471,TBB_DEF_70-99_0_0_G300hp,11,1,1267.1,3190,4520,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83108E+11,10,d,sum,2,0.218036028,0.489028213,36.84012539,0.004100991,0.308941331
2016,DISBT,observer,GO31,1471,TBB_DEF_70-99_0_0_G300hp,11,1,1267.1,3190,4520,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83108E+11,11,d,sum,2,0.633512546,1.090909091,82.18181818,0.011915597,0.897641601
2016,DISBT,observer,GO31,1471,TBB_DEF_70-99_0_0_G300hp,11,1,1267.1,3190,4520,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83108E+11,12,d,sum,2,0.480112135,0.648902821,48.88401254,0.009030322,0.680284279
2016,DISBT,observer,GO31,1471,TBB_DEF_70-99_0_0_G300hp,11,1,1267.1,3190,4520,Agonus cataphractus,Hooknose,Harnasmannetje,,8.83108E+11,13,d,sum,2,0.443771879,0.479623825,36.13166144,0.008346807,0.628792756
2016,DISBT,observer,GO31,1471,TBB_DEF_70-99_0_0_G300hp,11,1,1267.1,3190,4520,Ammodytes sp.,,Zandspieringen indet.,SAN,8.84501E+11,11,d,sum,2,0.076758912,0.329153605,24.79623825,0.001443741,0.108761844
2016,DISBT,observer,GO31,1471,TBB_DEF_70-99_0_0_G300hp,11,1,1267.1,3190,4520,Ammodytes sp.,,Zandspieringen indet.,SAN,8.84501E+11,12,d,sum,2,0.135951197,0.44200627,33.29780564,0.002557076,0.192633044
2016,DISBT,observer,GO31,1471,TBB_DEF_70-99_0_0_G300hp,11,1,1267.1,3190,4520,Ammodytes sp.,,Zandspieringen indet.,SAN,8.84501E+11,13,d,sum,2,0.541526918,1.363636364,102.7272727,0.010185459,0.767304599
